distance, measured_distance, measured_angle
4,	4.293,	-0.044
4,	4.266,	0.044
7,	7.296,	0.223
7,	7.622,	0.268
8,	8.119,	0.044
8,	8.173,	1.554
9,	9.477,	0.067
10,	10.112,	0.313
9,	9.507,	0.201
8,	7.777,	0.045
7,	7.124,	0.134
6,	5.933,	0.067
6,	5.668,	-0.268
5,	4.843,	-0.089
4,	3.963,	0.0223
3,	2.298,	0.0
3,	3.016,	0.134
2,	0.836,	0.850
3,	2.484,	0.358
4,	3.854,	-0.08
5,	4.79,	0.268
6,	5.141,	0.268
7,	6.655,	0.850
8,	7.381,	0.984
8,	7.462,	0.850
7,	6.516,	0.805
8,	7.22,	0.783
7,	6.21,	0.581
6,	5.589,	0.447
5,	4.685,	0.537
4,	3.896,	0.290
3,	3.458,	0.358
3,	3.02,	0.134
4,	4.017,	-0.067
5,	4.869,	0.089
6,	5.816,	0.514
7,	6.221,	0.537
8,	6.865,	0.671
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
9,	8.115,	0.358
10,	9.99,	0.268
6,	5.687,	0.430
4,	3.861,	0.239
